date,gross
2009-12-18,26752099
2009-12-19,25529036
2009-12-20,24744346
2009-12-21,16385820
2009-12-22,16086461
2009-12-23,16445291
2009-12-24,11150998
2009-12-25,23095046
2009-12-26,28274406
2009-12-27,24247681
2009-12-28,19418139
2009-12-29,18290628
2009-12-30,18466123
2009-12-31,14738136
2010-01-01,25274008
2010-01-02,25835551
2010-01-03,17381129
2010-01-04,8094554
2010-01-05,7327233
2010-01-06,6909167
2010-01-07,6094445
2010-01-08,13280653
2010-01-09,21269537
2010-01-10,15756027
2010-01-11,5111193
2010-01-12,5066734
2010-01-13,4743762
2010-01-14,4698802
2010-01-15,10394264
2010-01-16,17254108
2010-01-17,15137240
2010-01-18,11615834
2010-01-19,4190947
2010-01-20,3792807
2010-01-21,3945213
2010-01-22,9028494
2010-01-23,16326050
2010-01-24,9589537
2010-01-25,3240192
2010-01-26,3198046
2010-01-27,3137588
2010-01-28,3155062
2010-01-29,7439426
2010-01-30,13783881
2010-01-31,10056722
2010-02-01,2700621
2010-02-02,2688514
2010-02-03,2647797
2010-02-04,2703975
2010-02-05,6160319
2010-02-06,11539798
2010-02-07,5150764
2010-02-08,2251567
2010-02-09,2025264
2010-02-10,1849314
2010-02-11,2135304
2010-02-12,4540671
2010-02-13,9200438
2010-02-14,9870516
2010-02-15,5171224
2010-02-16,1836327
2010-02-17,1711050
2010-02-18,1785275
2010-02-19,3894018
2010-02-20,7456579
2010-02-21,4890260
2010-02-22,1275037
2010-02-23,1262678
2010-02-24,1202184
2010-02-25,1202884
2010-02-26,3076750
2010-02-27,6639830
2010-02-28,3938694
2010-03-01,1258677
2010-03-02,1485577
2010-03-03,1538442
2010-03-04,1646578
2010-03-05,1974036
2010-03-06,3663018
2010-03-07,2481048
2010-03-08,817968
2010-03-09,781694
2010-03-10,747131
2010-03-11,789785
2010-03-12,1685857
2010-03-13,2899835
2010-03-14,1940729
2010-03-15,671742
2010-03-16,678998
2010-03-17,608622
2010-03-18,651147
2010-03-19,1057206
2010-03-20,1746005
2010-03-21,1223794
2010-03-22,358514
2010-03-23,360899
2010-03-24,349332
2010-03-25,416352
2010-03-26,526502
2010-03-27,879290
2010-03-28,641683
2010-03-29,243746
2010-03-30,231791
2010-03-31,223937
2010-04-01,212436
2010-04-02,347063
2010-04-03,376963
2010-04-04,256213
2010-04-05,165264
2010-04-06,107325
2010-04-07,115831
2010-04-08,123224
2010-04-09,238853
2010-04-10,365729
2010-04-11,240069
2010-04-12,78485
2010-04-13,86453
2010-04-14,81346
2010-04-15,85196
2010-04-16,255494
2010-04-17,475042
2010-04-18,272278
2010-04-19,91752
2010-04-20,104172
2010-04-21,111443
2010-04-22,114299
2010-04-23,241556
2010-04-24,434181
2010-04-25,244467
2010-04-26,68371
2010-04-27,76603
2010-04-28,69419
2010-04-29,79827
2010-04-30,170753
2010-05-01,289121
2010-05-02,173250
2010-05-03,58282
2010-05-04,58572
2010-05-05,54780
2010-05-06,57215
2010-05-07,103989
2010-05-08,182252
2010-05-09,138844
2010-05-10,43749
2010-05-11,47031
2010-05-12,46666
2010-05-13,49338
2010-05-14,86287
2010-05-15,153276
2010-05-16,95611
2010-05-17,41240
2010-05-18,38544
2010-05-19,42805
2010-05-20,42198
2010-05-21,42198
2010-05-22,81999
2010-05-23,64308
2010-05-24,38557
2010-05-25,22063
2010-05-26,23279
2010-05-27,23295
2010-05-28,27969
2010-05-29,47262
2010-05-30,44849
2010-05-31,24161
2010-06-01,16992
2010-06-02,15961
2010-06-03,19345
2010-06-04,18087
2010-06-05,36844
2010-06-06,21761
2010-06-07,11412
2010-06-08,11488
2010-06-09,12771
2010-06-10,14271
2010-06-11,15963
2010-06-12,27713
2010-06-13,21091
2010-06-14,16293
2010-06-15,18619
2010-06-16,19696
2010-06-17,18362
2010-06-18,12094
2010-06-19,19471
2010-06-20,13616
2010-06-21,11372
2010-06-22,16048
2010-06-23,13593
2010-06-24,15039
2010-06-25,9634
2010-06-26,19879
2010-06-27,15059
2010-06-28,9455
2010-06-29,12250
2010-06-30,4333
2010-07-01,6546
2010-07-02,7024
2010-07-03,12005
2010-07-04,9700
2010-07-05,6977
2010-07-06,5684
2010-07-07,4687
2010-07-08,6203
2010-07-09,10443
2010-07-10,17791
2010-07-11,8737
2010-07-12,5953
2010-07-13,4548
2010-07-14,7496
2010-07-15,10399
2010-07-16,3840
2010-07-17,7226
2010-07-18,4549
2010-07-19,1493
2010-07-20,1626
2010-07-21,1430
2010-07-22,4207
2010-07-23,4781
2010-07-24,7684
2010-07-25,4352
2010-07-26,1750
2010-07-27,1486
2010-07-28,1306
2010-07-29,3740
2010-07-30,4046
2010-07-31,4861
2010-08-01,4121
2010-08-02,571
2010-08-03,772
2010-08-04,874
2010-08-05,5108
2010-08-06,2685
2010-08-07,3828
2010-08-08,3998
