date,gross
2015-05-01,84424532
2015-05-02,56526635
2015-05-03,50319942
2015-05-04,13228555
2015-05-05,13132812
2015-05-06,9409838
2015-05-07,8613154
2015-05-08,21232362
2015-05-09,33835656
2015-05-10,22678911
2015-05-11,5398779
2015-05-12,5990413
2015-05-13,4342154
2015-05-14,4037065
2015-05-15,10019125
2015-05-16,17204358
2015-05-17,11636417
2015-05-18,3435547
2015-05-19,3020580
2015-05-20,2329898
2015-05-21,2353746
2015-05-22,5356424
2015-05-23,8286236
2015-05-24,8049037
2015-05-25,6507209
2015-05-26,1949182
2015-05-27,1429415
2015-05-28,1402043
2015-05-29,2883572
2015-05-30,4917855
2015-05-31,3599975
2015-06-01,1082288
2015-06-02,1261068
2015-06-03,973884
2015-06-04,945229
2015-06-05,1842660
2015-06-06,2656411
2015-06-07,1840592
2015-06-08,747554
2015-06-09,851565
2015-06-10,718865
2015-06-11,630675
2015-06-12,1064656
2015-06-13,1522453
2015-06-14,1087948
2015-06-15,451436
2015-06-16,502192
2015-06-17,442554
2015-06-18,426496
2015-06-19,734327
2015-06-20,1041234
2015-06-21,1071843
2015-06-22,325340
2015-06-23,390085
2015-06-24,316379
2015-06-25,306094
2015-06-26,482413
2015-06-27,703101
2015-06-28,503424
2015-06-29,248127
2015-06-30,240934
2015-07-01,162998
2015-07-02,219026
2015-07-03,363582
2015-07-04,269388
2015-07-05,253181
2015-07-06,140338
2015-07-07,155118
2015-07-08,136103
2015-07-09,120094
2015-07-10,128301
2015-07-11,185695
2015-07-12,141768
2015-07-13,69841
2015-07-14,83314
2015-07-15,74545
2015-07-16,63821
