date,gross
2019-04-26,157461641
2019-04-27,109264122
2019-04-28,90389244
2019-04-29,36874439
2019-04-30,33110349
2019-05-01,25251991
2019-05-02,21542852
2019-05-03,40736774
2019-05-04,61527049
2019-05-05,45119388
2019-05-06,10709607
2019-05-07,12518963
2019-05-08,8429166
2019-05-09,7510154
2019-05-10,16190479
2019-05-11,27542359
2019-05-12,19567066
2019-05-13,4702092
2019-05-14,5742618
2019-05-15,3788021
2019-05-16,3416496
2019-05-17,7470727
2019-05-18,12903478
2019-05-19,9599300
2019-05-20,3162240
2019-05-21,2900871
2019-05-22,1994512
2019-05-23,1905738
2019-05-24,4278676
2019-05-25,6452368
2019-05-26,6469698
2019-05-27,4863113
2019-05-28,1867668
2019-05-29,1288624
2019-05-30,1136901
2019-05-31,2074012
2019-06-01,3380393
2019-06-02,2583086
2019-06-03,869816
2019-06-04,1208347
2019-06-05,900345
2019-06-06,861157
2019-06-07,1251593
2019-06-08,2035511
2019-06-09,1583859
2019-06-10,598373
2019-06-11,790276
2019-06-12,601476
2019-06-13,547331
2019-06-14,832020
2019-06-15,1385165
2019-06-16,1508670
2019-06-17,470423
2019-06-18,598268
2019-06-19,459630
2019-06-20,380431
2019-06-21,530906
2019-06-22,818809
2019-06-23,638134
2019-06-24,272691
2019-06-25,346028
2019-06-26,266300
2019-06-27,299327
2019-06-28,1874259
2019-06-29,2298821
2019-06-30,1935656
2019-07-01,873149
2019-07-02,585678
2019-07-03,624819
2019-07-04,789290
2019-07-05,1075221
2019-07-06,1215061
2019-07-07,828035
2019-07-08,381012
2019-07-09,506745
2019-07-10,384327
2019-07-11,354905
2019-07-12,600453
2019-07-13,840087
2019-07-14,663736
2019-07-15,332736
2019-07-16,437462
2019-07-17,354276
2019-07-18,280304
2019-07-19,460931
2019-07-20,597841
2019-07-21,455969
2019-07-22,257846
2019-07-23,306920
2019-07-24,267954
2019-07-25,259095
2019-07-26,294644
2019-07-27,411659
2019-07-28,246306
2019-07-29,130571
2019-07-30,154435
2019-07-31,119142
2019-08-01,115829
2019-08-02,112100
2019-08-03,151897
2019-08-04,119161
2019-08-05,65861
2019-08-06,69997
2019-08-07,56021
2019-08-08,48396
2019-08-09,56272
2019-08-10,86232
2019-08-11,67488
2019-08-12,31799
2019-08-13,33550
2019-08-14,24868
2019-08-15,21669
2019-08-16,28714
2019-08-17,42958
2019-08-18,29077
2019-08-19,11510
2019-08-20,12546
2019-08-21,11143
2019-08-22,10821
2019-08-23,13186
2019-08-24,22021
2019-08-25,15061
2019-08-26,4865
2019-08-27,5529
2019-08-28,4811
2019-08-29,5113
2019-08-30,15229
2019-08-31,27112
2019-09-01,28434
2019-09-02,16062
2019-09-03,2820
2019-09-04,2448
2019-09-05,2579
2019-09-06,3050
2019-09-07,5476
2019-09-08,4154
2019-09-09,940
2019-09-10,2098
2019-09-11,1934
2019-09-12,1663
