summary,country,city,state,date_time,shape,duration,city_latitude,city_longitude,date,time,sightings,standardized_sightings
"Triangle craft low & slow San Antonio, Texas",USA,Cibolo,TX,2012-06-01T00:00:00,triangle,10 minutes,29.5738,-98.2292,2012-06-01,00:00:00,16,-0.4374648608431736
I was experimented on when I was very young and woke up with various lasting physical malformations.,USA,Boothwyn,PA,2012-03-20T23:00:00,,Unknown,,,2012-03-20,23:00:00,25,-0.15560782049292537
"I was driving with a nine-year-old over Cheniere Lake just outside of West Monroe, LA. I saw a large round object that seemed to have a",USA,West Monroe,LA,2012-07-06T00:00:00,fireball,,32.50605609756097,-92.17973658536586,2012-07-06,00:00:00,26,-0.12429037156512002
"Bright, glowing red light transitions from hover to clearing the horizon in seconds .",USA,Hannawa Falls,NY,2012-08-12T01:00:00,fireball,3 minutes,,,2012-08-12,01:00:00,35,0.15756666878512818
I saw an alien that didnt seem intelligent go to a ship and then fly away.,USA,Irvington,AL,2012-09-01T03:00:00,unknown,30 minutes,30.4837,-88.2414,2012-09-01,03:00:00,49,0.5960109537744032
"A ball, bright as an LED, 15 feet away from us, stayed infront of our car for about 10 seconds at 110MPH then disappear in the horizon",USA,Near Eva,OK,2012-03-17T23:50:00,sphere,15 seconds,,,2012-03-17,23:50:00,21,-0.2808776162041468
I heard a humming noice (sounded like a microwave) the craft traveled directly over me about 100 feet or so.,USA,West Seattle,WA,2012-04-01T15:00:00,circle,About a minute- 2 minutes,,,2012-04-01,15:00:00,16,-0.4374648608431736
Portal,USA,Morton,IL,2012-04-04T02:30:00,disk,About 5 - 6 minutes,40.6161,-89.46349999999998,2012-04-04,02:30:00,10,-0.6253695544100057
Began as a bright blue ball of light and then a triangle craft with a bright white light coming from the inner front of craft,USA,Germantown,NY,2012-11-06T16:30:00,triangle,Less than an hour,42.1213,-73.858,2012-11-06,16:30:00,26,-0.12429037156512002
Large white transparent & opaque w/o physical material; no sound; over hour observed it slowly moved away until it looked like star,USA,Whitehouse Station,NJ,2012-08-20T04:00:00,other,1 hour,40.6183,-74.772,2012-08-20,04:00:00,17,-0.40614741191536824
Two of my friends and I saw a boomerang shaped ufo above our house,USA,Stephenville,TX,2012-09-18T23:00:00,chevron,10-15 seconds,32.2184,-98.2236,2012-09-18,23:00:00,17,-0.40614741191536824
"Hypersonic flight, seen two years in row same day. 5 witnesses.  Near a naval station . Awe inspiring.",USA,Howell,NJ,2012-10-31T17:24:00,changing,17 seconds,,,2012-10-31,17:24:00,18,-0.3748299629875629
