NAME,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alabama,7.0,5.0,9.0,14.0,18.0,27.0,13.0,10.0,13.0,6.0,13.0,12.0,4.0,13.0
Alaska,24.0,22.0,25.0,66.0,72.0,58.0,54.0,58.0,28.0,34.0,27.0,31.0,7.0,14.0
Arizona,24.0,19.0,25.0,32.0,35.0,45.0,42.0,35.0,30.0,13.0,32.0,31.0,18.0,17.0
Arkansas,10.0,17.0,15.0,20.0,19.0,12.0,14.0,14.0,16.0,13.0,24.0,31.0,15.0,15.0
California,18.0,16.0,17.0,20.0,19.0,23.0,21.0,15.0,15.0,8.0,13.0,16.0,9.0,9.0
Colorado,18.0,14.0,24.0,23.0,28.0,37.0,30.0,36.0,29.0,20.0,23.0,39.0,22.0,17.0
Connecticut,20.0,18.0,22.0,43.0,39.0,27.0,24.0,21.0,23.0,31.0,35.0,36.0,21.0,17.0
Delaware,10.0,16.0,17.0,35.0,13.0,40.0,32.0,21.0,23.0,8.0,16.0,27.0,9.0,20.0
Florida,14.0,12.0,18.0,24.0,28.0,32.0,23.0,18.0,16.0,11.0,19.0,19.0,10.0,13.0
Georgia,9.0,8.0,10.0,13.0,14.0,22.0,14.0,12.0,12.0,7.0,15.0,12.0,7.0,7.0
Hawaii,15.0,22.0,15.0,26.0,38.0,49.0,19.0,20.0,11.0,8.0,35.0,32.0,6.0,12.0
Idaho,16.0,20.0,28.0,36.0,64.0,55.0,59.0,45.0,29.0,26.0,59.0,69.0,29.0,23.0
Illinois,11.0,16.0,17.0,21.0,13.0,13.0,14.0,12.0,7.0,8.0,13.0,13.0,6.0,7.0
Indiana,12.0,15.0,15.0,22.0,22.0,24.0,12.0,13.0,9.0,14.0,27.0,29.0,13.0,12.0
Iowa,14.0,16.0,15.0,33.0,26.0,22.0,15.0,13.0,14.0,10.0,14.0,23.0,7.0,8.0
Kansas,16.0,18.0,15.0,21.0,19.0,24.0,16.0,17.0,18.0,11.0,14.0,25.0,8.0,10.0
Kentucky,14.0,12.0,19.0,15.0,22.0,21.0,16.0,12.0,15.0,11.0,17.0,20.0,10.0,11.0
Louisiana,12.0,6.0,7.0,10.0,11.0,24.0,13.0,10.0,7.0,6.0,10.0,9.0,5.0,6.0
Maine,32.0,22.0,32.0,78.0,62.0,39.0,44.0,53.0,27.0,20.0,42.0,56.0,23.0,27.0
Maryland,8.0,9.0,13.0,19.0,19.0,25.0,19.0,16.0,16.0,9.0,12.0,13.0,7.0,8.0
Massachusetts,12.0,16.0,16.0,24.0,29.0,30.0,22.0,17.0,15.0,10.0,17.0,20.0,10.0,13.0
Michigan,13.0,13.0,16.0,24.0,19.0,19.0,19.0,14.0,13.0,6.0,14.0,18.0,6.0,8.0
Minnesota,12.0,11.0,15.0,27.0,23.0,19.0,28.0,15.0,15.0,9.0,23.0,21.0,8.0,10.0
Mississippi,10.0,7.0,8.0,15.0,13.0,15.0,14.0,11.0,8.0,8.0,11.0,9.0,5.0,7.0
Missouri,15.0,20.0,23.0,29.0,19.0,24.0,17.0,18.0,18.0,10.0,21.0,21.0,13.0,13.0
