state,city_latitude,city_longitude,date,time
WA,47.7941,-122.3066,2019-06-23,18:53:00
CT,41.37394080000001,-72.92132480000001,2019-06-23,20:00:00
VA,38.05596818950931,-78.4944820642978,2019-06-20,23:28:00
MI,42.2385,-83.1783,2019-06-21,00:00:00
CA,33.79409344262295,-116.94998852459015,2019-07-06,00:30:00
WA,47.6959,-117.1078,2019-07-06,02:00:00
CT,41.8409,-72.8978,2019-06-28,21:00:00
CO,40.1828,-103.2227,2019-06-30,08:25:00
MT,46.62742905982906,-112.01273504273504,2019-07-01,14:48:00
MO,37.8394,-94.3594,2019-07-22,14:45:00
CA,41.3174,-122.324,2019-07-19,11:22:00
MT,48.4049,-114.3472,2019-07-12,12:45:00
IN,39.9573,-86.277,2019-05-13,17:00:00
TX,32.9457,-97.1547,2019-07-30,00:01:00
CA,33.66450056980057,-117.3415319088319,2019-07-27,23:00:00
IL,37.9776,-88.3191,2019-07-25,12:47:00
TX,32.2184,-98.2236,2019-07-10,18:00:00
TX,31.78267299625468,-106.3896922284644,2019-11-04,00:00:00
GA,34.03043880126183,-84.35155078864352,2019-11-02,00:45:00
AZ,34.5823,-113.17659999999998,2019-10-27,20:00:00
NC,35.01043612903226,-80.53385913978495,2019-10-25,18:30:00
WA,47.75037999999999,-122.32976,2019-10-23,23:30:00
TN,35.949673017170895,-84.01413319705642,2019-10-17,20:48:00
NC,35.40989387755102,-80.59519132653062,2019-10-15,18:45:00
CO,38.286499613899615,-104.6427362934363,2019-10-15,04:00:00
TN,36.3848,-89.46130000000001,2019-10-13,02:00:00
NM,32.41061971830986,-104.24341830985917,2019-10-07,16:45:00
FL,28.51220019430052,-81.37852415803108,2019-10-03,03:00:00
NJ,40.9864,-74.1112,2019-08-01,22:30:00
AL,34.498,-86.257,2014-09-12,21:30:00
MN,45.0822,-93.139,2009-01-02,16:30:00
FL,28.40906169590644,-80.77539181286551,2009-08-08,23:00:00
IA,41.9928923857868,-91.66164390862944,2009-10-08,23:00:00
TX,31.873931843575416,-102.3710377094972,2009-10-22,19:00:00
IL,42.1292,-89.27020000000002,2010-06-15,02:30:00
TX,31.549191297024144,-97.15039000561482,2010-07-01,10:00:00
GA,33.9378,-83.5068,2010-07-15,23:00:00
SC,33.7346,-81.0935,2010-11-10,23:00:00
WV,39.61949342723005,-79.94673145539906,2011-04-22,15:00:00
WI,44.5221520367183,-88.02955502008031,2011-07-01,00:30:00
MI,44.8734,-85.9887,2011-07-20,23:30:00
TX,29.5738,-98.2292,2012-06-01,00:00:00
LA,32.50605609756097,-92.17973658536586,2012-07-06,00:00:00
AL,30.4837,-88.2414,2012-09-01,03:00:00
PA,40.67462625698324,-75.24733631284916,2014-07-01,00:00:00
NM,35.117007033898304,-106.62212966101694,2014-10-04,03:00:00
GA,33.82100507315219,-84.42299163974918,2016-11-04,09:31:00
NY,40.75256378421113,-73.9844567179912,2016-12-30,00:00:00
KY,38.9345,-84.5481,2017-02-15,02:00:00
NC,34.7335,-79.314,2017-06-12,21:00:00
OR,45.510005224458205,-122.66458212074302,2017-06-17,21:37:00
FL,28.00877654729869,-82.4813833471331,2017-06-21,21:00:00
NJ,40.3583,-74.0382,2017-07-18,23:30:00
MI,42.49202433460076,-83.01486121673004,2017-08-19,18:00:00
WI,45.7562,-91.9577,2017-10-01,22:00:00
OR,42.4244,-123.0854,2017-12-14,18:00:00
FL,27.35480054347826,-82.50858278985507,2018-01-07,01:00:00
CO,38.87714691753403,-104.76823722978384,2018-02-13,20:05:00
AZ,33.3956967032967,-111.53908791208792,2018-05-01,20:00:00
PA,40.0402,-76.4855,2018-07-08,12:00:00
WA,45.5959,-122.3104,2018-08-06,00:50:00
NM,34.6511,-106.6952,2018-08-18,16:00:00
WA,47.66379743589744,-122.69919743589745,2018-09-04,22:15:00
IL,39.2901,-89.8675,2018-10-21,00:00:00
CA,33.834235557331205,-117.88519912105474,2018-10-25,17:00:00
AR,34.9464,-92.0322,2018-11-01,20:03:00
AZ,33.50378574057038,-112.077080174793,2018-11-22,03:00:00
LA,30.223368804664723,-93.20341749271137,2018-11-22,21:45:00
FL,28.40906169590644,-80.77539181286551,2018-11-22,23:00:00
WA,45.658570363636365,-122.59014654545454,2018-12-12,00:40:00
PA,40.304671428571424,-79.54185170068027,2018-12-15,20:00:00
KY,38.2174,-83.8957,2018-12-18,22:00:00
PA,40.2363,-75.296,2019-01-01,00:00:00
NE,41.12967540983607,-95.9278606557377,2019-01-08,19:50:00
WV,39.2325,-81.1554,2019-02-10,22:00:00
WI,43.55,-89.4738,2019-02-12,15:15:00
IL,37.8239,-88.6217,2019-02-25,00:00:00
ID,43.568753114754095,-116.56108262295082,2019-03-02,06:00:00
AR,36.1805,-94.5304,2019-03-14,07:57:00
MO,37.19130910746812,-93.28695318761385,2019-03-20,22:00:00
OR,44.9929,-122.76590000000002,2019-04-03,22:30:00
SC,33.71258733572282,-78.93877275985663,2019-04-17,22:00:00
AZ,33.50378574057038,-112.077080174793,2019-04-23,02:00:00
TX,30.0091,-94.8746,2019-04-27,00:24:00
IN,39.0665,-85.7129,2019-05-05,22:51:00
WA,48.2011,-122.378,2019-05-08,03:08:00
IN,41.3479,-85.1398,2019-05-13,17:05:00
GA,34.223596829971186,-84.1367204610951,2019-05-17,02:00:00
NC,35.5238,-83.0911,2019-05-28,22:00:00
FL,28.62240827067669,-81.36535338345864,2019-06-14,13:00:00
WA,48.5769,-117.8602,2019-06-14,22:12:00
MD,38.3378,-75.0873,2019-06-18,17:00:00
CA,32.8466,-116.977,2019-06-28,21:30:00
CA,37.65732343522562,-120.98715909752548,2019-07-05,04:00:00
WA,47.32691379310345,-122.61801896551724,2019-07-07,23:00:00
NJ,39.745,-75.0924,2019-07-11,08:46:00
MO,38.1051,-92.9188,2019-07-18,19:45:00
UT,40.60507291666666,-111.99772760416666,2019-07-20,19:10:00
CO,38.87714691753403,-104.76823722978384,2019-07-25,14:24:00
TX,33.0581,-97.5866,2019-07-27,00:00:00
TN,36.56671719298246,-87.39411859649124,2019-07-31,21:33:00
MA,42.2868,-70.8818,2019-08-09,19:15:00
WA,47.92492896341463,-122.2173375,2019-08-10,22:00:00
VA,38.85273512974052,-77.31120419161677,2019-08-13,00:40:00
OH,41.088669505783386,-81.52723162460568,2019-08-17,12:53:00
PA,40.94911904761905,-75.97065873015873,2019-08-18,15:00:00
OH,41.23445042372881,-80.77760211864407,2019-08-26,12:56:00
NY,42.3256,-77.65930000000002,2019-08-27,19:00:00
FL,28.08003514001807,-82.73475365853658,2019-08-27,20:30:00
FL,28.0303,-82.7816,2019-08-30,03:45:00
WY,43.1667,-111.02060000000002,2019-08-31,08:00:00
CA,34.261,-116.8131,2019-08-31,11:58:00
NC,35.4937,-77.9625,2019-09-02,15:00:00
NY,40.9058,-73.5561,2019-09-07,03:00:00
TX,28.6814,-99.172,2019-09-07,06:00:00
GA,33.920428571428566,-84.37795714285714,2019-09-11,19:45:00
VA,36.7458324742268,-76.30021237113402,2019-09-12,20:30:00
TN,35.949673017170895,-84.01413319705642,2019-09-12,22:32:00
AZ,32.69847852049911,-114.58248636363636,2019-09-13,22:00:00
OH,40.0992,-84.6298,2019-09-15,23:00:00
PA,40.3214,-80.0378,2019-09-14,21:57:00
ME,44.4359,-69.0144,2019-09-18,17:00:00
NM,33.52016370967742,-104.44226854838708,2019-09-19,10:30:00
MN,45.4535,-94.4376,2019-09-19,16:30:00
ND,46.80314615384615,-100.76674423076923,2019-09-20,01:00:00
CA,39.6631,-123.4981,2019-09-20,15:00:00
CA,33.86895981220657,-117.54791830985916,2019-09-20,20:43:00
NC,35.1623,-77.6882,2019-09-20,22:30:00
TN,36.14108444607484,-86.78634372707263,2019-09-21,13:30:00
NM,33.52016370967742,-104.44226854838708,2019-09-21,20:30:00
CA,33.84798899521531,-118.11807033492823,2019-09-21,20:45:00
TN,36.0869,-84.1897,2019-09-21,21:19:00
NV,39.2435,-114.8883,2019-09-22,23:00:00
