state,count
CA,15159
FL,7714
WA,6785
TX,5674
NY,5480
AZ,4700
PA,4665
OH,4163
IL,4033
NC,3435
MI,3418
OR,3358
CO,3044
NJ,2696
MO,2644
IN,2551
GA,2543
VA,2527
MA,2495
WI,2324
TN,2161
SC,2129
MN,1977
CT,1891
MD,1694
NV,1593
KY,1578
NM,1553
UT,1420
OK,1371
ID,1295
AL,1283
AR,1189
IA,1150
NH,1123
ME,1115
KS,1100
LA,1047
MT,951
WV,837
MS,722
NE,643
HI,637
AK,598
VT,579
RI,571
DE,388
WY,384
SD,357
ND,256
DC,135
ON,6
GUAM,1
UNITED STATES VIRGIN ISLANDS,1
"
MA",1
AMERICAN SAMOA,1
CORNWALL,1
"WASHINGTON, DC",1
ONTARIO,1
BC,1
MB,1
SK,1
M0,1
SOUTH CAROLINA,1
NB,1
NS,1
AB,1
QUINTANA ROO,1
