date,gross
2018-04-27,106334939
2018-04-28,82131612
2018-04-29,69231632
2018-04-30,24740117
2018-05-01,23426108
2018-05-02,16966862
2018-05-03,15501270
2018-05-04,31453749
2018-05-05,46676705
2018-05-06,36644356
2018-05-07,8283575
2018-05-08,10673500
2018-05-09,7051981
2018-05-10,6895697
2018-05-11,15986612
2018-05-12,26938937
2018-05-13,19152498
2018-05-14,4625938
2018-05-15,6009292
2018-05-16,4193985
2018-05-17,3441594
2018-05-18,7306785
2018-05-19,12791859
2018-05-20,9354259
2018-05-21,2708094
2018-05-22,2859727
2018-05-23,1901495
2018-05-24,1911460
2018-05-25,4234857
2018-05-26,6473278
2018-05-27,6586522
2018-05-28,5159885
2018-05-29,1978217
2018-05-30,1464526
2018-05-31,1407009
2018-06-01,2819868
2018-06-02,4511768
2018-06-03,3175643
2018-06-04,1163591
2018-06-05,1555271
2018-06-06,1073676
2018-06-07,1098950
2018-06-08,1836286
2018-06-09,2998633
2018-06-10,2403780
2018-06-11,922933
2018-06-12,1182541
2018-06-13,895177
2018-06-14,766901
2018-06-15,1454197
2018-06-16,1992161
2018-06-17,1995903
2018-06-18,641605
2018-06-19,857456
2018-06-20,628375
2018-06-21,510802
2018-06-22,727411
2018-06-23,1090221
2018-06-24,766596
2018-06-25,352045
2018-06-26,470116
2018-06-27,346667
2018-06-28,345207
2018-06-29,439213
2018-06-30,615309
2018-07-01,488182
2018-07-02,288063
2018-07-03,393874
2018-07-04,385514
2018-07-05,236607
2018-07-06,285749
2018-07-07,387255
2018-07-08,263331
2018-07-09,131183
2018-07-10,160049
2018-07-11,134060
2018-07-12,112336
2018-07-13,179449
2018-07-14,265804
2018-07-15,176127
2018-07-16,95577
2018-07-17,125174
2018-07-18,96512
2018-07-19,91442
2018-07-20,114703
2018-07-21,173427
2018-07-22,137336
2018-07-23,73028
2018-07-24,88989
2018-07-25,74534
2018-07-26,60539
2018-07-27,115836
2018-07-28,163772
2018-07-29,126400
2018-07-30,61889
2018-07-31,74496
2018-08-01,60912
2018-08-02,57450
2018-08-03,71327
2018-08-04,102563
2018-08-05,79956
2018-08-06,37182
2018-08-07,40487
2018-08-08,35985
2018-08-09,31774
2018-08-10,54164
2018-08-11,83439
2018-08-12,51971
2018-08-13,24153
2018-08-14,23619
2018-08-15,19040
2018-08-16,18376
2018-08-17,27427
2018-08-18,42753
2018-08-19,30382
2018-08-20,9993
2018-08-21,11661
2018-08-22,9201
2018-08-23,8394
2018-08-24,12487
2018-08-25,24708
2018-08-26,17811
2018-08-27,4850
2018-08-28,5551
2018-08-29,5141
2018-08-30,5936
2018-08-31,12082
2018-09-01,25057
2018-09-02,21923
2018-09-03,15041
2018-09-04,2816
2018-09-05,2502
2018-09-06,2118
2018-09-07,4196
2018-09-08,9558
2018-09-09,6543
2018-09-10,1450
2018-09-11,1616
2018-09-12,1608
2018-09-13,1808
