date,gross
2016-12-16,71094394
2016-12-17,46308115
2016-12-18,37679172
2016-12-19,17596150
2016-12-20,17582978
2016-12-21,14965790
2016-12-22,16773075
2016-12-23,22860256
2016-12-24,15308508
2016-12-25,25865004
2016-12-26,32085637
2016-12-27,22515612
2016-12-28,18021482
2016-12-29,16722532
2016-12-30,18224317
2016-12-31,14632828
2017-01-01,16751857
2017-01-02,15913674
2017-01-03,6268921
2017-01-04,4237535
2017-01-05,3893517
2017-01-06,6084974
2017-01-07,9558458
2017-01-08,6420138
2017-01-09,1759491
2017-01-10,2532047
2017-01-11,1736301
2017-01-12,1698971
2017-01-13,3260705
2017-01-14,5757579
2017-01-15,4449905
2017-01-16,3338523
2017-01-17,1315572
2017-01-18,1007131
2017-01-19,944414
2017-01-20,1755180
2017-01-21,3558816
2017-01-22,1896474
2017-01-23,612079
2017-01-24,763713
2017-01-25,587074
2017-01-26,586674
2017-01-27,1255174
2017-01-28,2440324
2017-01-29,1579015
2017-01-30,368419
2017-01-31,449338
2017-02-01,342079
2017-02-02,349590
2017-02-03,781497
2017-02-04,1593071
2017-02-05,548311
2017-02-06,258265
2017-02-07,305035
2017-02-08,249072
2017-02-09,222205
2017-02-10,355803
2017-02-11,719646
2017-02-12,420539
2017-02-13,150569
2017-02-14,260751
2017-02-15,128105
2017-02-16,109087
2017-02-17,177317
2017-02-18,336597
2017-02-19,277394
2017-02-20,204706
2017-02-21,81850
2017-02-22,66159
2017-02-23,65053
2017-02-24,98653
2017-02-25,199385
2017-02-26,125349
2017-02-27,40005
2017-02-28,46876
2017-03-01,38557
2017-03-02,35423
2017-03-03,55412
2017-03-04,105500
2017-03-05,63029
2017-03-06,18874
2017-03-07,25526
2017-03-08,17436
2017-03-09,17831
2017-03-10,48687
2017-03-11,100303
2017-03-12,60657
2017-03-13,22767
2017-03-14,29055
2017-03-15,24399
2017-03-16,51264
2017-03-17,174366
2017-03-18,242602
2017-03-19,85937
2017-03-20,28252
2017-03-21,33696
2017-03-22,29397
2017-03-23,27717
2017-03-24,134780
2017-03-25,212150
2017-03-26,100062
2017-03-27,36605
2017-03-28,42553
2017-03-29,37230
2017-03-30,41617
2017-03-31,77238
2017-04-01,113232
2017-04-02,58604
2017-04-03,19905
2017-04-04,21807
2017-04-05,18970
2017-04-06,22623
2017-04-07,45815
2017-04-08,75265
2017-04-09,32182
2017-04-10,9288
2017-04-11,10739
2017-04-12,10410
2017-04-13,14373
2017-04-14,28679
2017-04-15,23976
2017-04-16,14209
2017-04-17,6212
2017-04-18,5291
2017-04-19,4997
2017-04-20,5598
2017-04-21,10510
2017-04-22,20107
2017-04-23,9509
2017-04-24,2239
2017-04-25,2572
2017-04-26,2734
2017-04-27,3324
2017-04-28,9696
2017-04-29,14327
2017-04-30,4769
2017-05-01,1042
2017-05-02,1408
2017-05-03,1066
2017-05-04,2112
