date,gross
2021-12-17,121964712
2021-12-18,73941279
2021-12-19,64232578
2021-12-20,37138318
2021-12-21,31408657
2021-12-22,27846311
2021-12-23,29333622
2021-12-24,19655506
2021-12-25,31609749
2021-12-26,33283250
2021-12-27,24770593
2021-12-28,21346817
2021-12-29,20327774
2021-12-30,20717908
2021-12-31,15407695
2022-01-01,23112936
2022-01-02,17502959
2022-01-03,7908732
2022-01-04,5918802
2022-01-05,4383219
2022-01-06,3926778
2022-01-07,8303811
2022-01-08,14828927
2022-01-09,9485183
2022-01-10,2426248
2022-01-11,2787987
2022-01-12,2242906
2022-01-13,2110817
2022-01-14,5179723
2022-01-15,8689649
2022-01-16,6224873
2022-01-17,4555918
2022-01-18,1647714
2022-01-19,1331545
2022-01-20,1332492
2022-01-21,3492340
2022-01-22,6518119
2022-01-23,3995155
2022-01-24,973653
2022-01-25,1121804
2022-01-26,938951
2022-01-27,960270
2022-01-28,2750994
2022-01-29,5397060
2022-01-30,2855474
2022-01-31,910449
2022-02-01,1044982
2022-02-02,795807
2022-02-03,710561
2022-02-04,2048482
2022-02-05,4640960
2022-02-06,2817883
2022-02-07,722957
2022-02-08,847136
2022-02-09,696548
2022-02-10,725244
2022-02-11,1918117
2022-02-12,3928608
2022-02-13,1675005
2022-02-14,1616139
2022-02-15,755915
2022-02-16,620281
2022-02-17,575804
2022-02-18,1739586
2022-02-19,3168597
2022-02-20,2550774
2022-02-21,1770762
2022-02-22,800624
2022-02-23,580425
2022-02-24,585493
2022-02-25,1308511
2022-02-26,2780579
2022-02-27,1712494
2022-02-28,480328
2022-03-01,688856
2022-03-02,516190
2022-03-03,464318
2022-03-04,1074371
2022-03-05,2064870
2022-03-06,1380382
2022-03-07,381075
2022-03-08,444353
2022-03-09,377264
2022-03-10,400416
2022-03-11,974427
2022-03-12,1865274
2022-03-13,1210346
2022-03-14,496163
2022-03-15,614855
2022-03-16,505592
2022-03-17,465942
2022-03-18,885424
2022-03-19,1450489
2022-03-20,805522
2022-03-21,246513
2022-03-22,325297
2022-03-23,275632
2022-03-24,255709
2022-03-25,510695
2022-03-26,930902
2022-03-27,559828
2022-03-28,174630
2022-03-29,206114
2022-03-30,167042
2022-03-31,166817
2022-04-01,385985
2022-04-02,675259
2022-04-03,380761
2022-04-04,98951
2022-04-05,138152
2022-04-06,112657
2022-04-07,94916
2022-04-08,169486
2022-04-09,294328
2022-04-10,162513
2022-04-11,52259
2022-04-12,57822
2022-04-13,48528
2022-04-14,44268
2022-04-15,80599
2022-04-16,80467
2022-04-17,44610
2022-04-18,30074
2022-04-19,19514
2022-04-20,19783
2022-04-21,15389
2022-04-22,27481
2022-04-23,38542
2022-04-24,19704
2022-04-25,4207
2022-04-26,5497
2022-04-27,5072
2022-04-28,5718
2022-04-29,40075
2022-04-30,75823
2022-05-01,38119
2022-05-02,12566
2022-05-03,16387
2022-05-04,14273
2022-05-05,3820
2022-05-06,13333
2022-05-07,22204
2022-05-08,7311
2022-05-09,1794
2022-05-10,1805
2022-05-11,1879
2022-05-12,1732
2022-05-13,14789
2022-05-14,19283
2022-05-15,3690
2022-05-16,1752
2022-05-17,1049
2022-05-18,701
2022-05-19,883
2022-05-20,10887
2022-05-21,14795
2022-05-22,6409
2022-05-23,1823
2022-05-24,684
2022-05-25,1357
2022-05-26,2056
2022-05-27,2171
2022-05-28,4159
2022-05-29,3105
2022-05-30,1481
2022-05-31,825
2022-06-01,761
2022-06-02,632
2022-06-03,2396
2022-06-04,3655
2022-06-05,2486
2022-06-06,479
2022-06-07,691
2022-06-08,421
2022-06-09,558
2022-06-10,1831
2022-06-11,2777
2022-06-12,1251
2022-06-13,239
2022-06-14,390
2022-06-15,602
2022-06-16,437
2022-06-17,3188
2022-06-18,4404
2022-06-19,2138
2022-06-20,269
2022-06-21,236
2022-06-22,444
2022-06-23,830
2022-06-24,456
2022-06-25,575
2022-06-26,543
2022-06-27,159
2022-06-28,333
2022-06-29,240
2022-06-30,327
