date,gross
2019-12-20,89615288
2019-12-21,47467565
2019-12-22,40301011
2019-12-23,29389847
2019-12-24,20270474
2019-12-25,32165681
2019-12-26,30586950
2019-12-27,26069973
2019-12-28,25075535
2019-12-29,21244082
2019-12-30,15302130
2019-12-31,13217698
2020-01-01,17076472
2020-01-02,9274735
2020-01-03,11038440
2020-01-04,14319903
2020-01-05,9166472
2020-01-06,2978242
2020-01-07,3981109
2020-01-08,2403487
2020-01-09,2165596
2020-01-10,3892246
2020-01-11,6769352
2020-01-12,4525436
2020-01-13,1153399
2020-01-14,1856300
2020-01-15,1261857
2020-01-16,1076521
2020-01-17,1970398
2020-01-18,3529380
2020-01-19,2789270
2020-01-20,2303679
2020-01-21,950522
2020-01-22,627448
2020-01-23,593642
2020-01-24,1253733
2020-01-25,2543434
2020-01-26,1775511
2020-01-27,435938
2020-01-28,620379
2020-01-29,419854
2020-01-30,404032
2020-01-31,852143
2020-02-01,1726280
2020-02-02,634460
2020-02-03,282947
2020-02-04,409612
2020-02-05,284085
2020-02-06,268930
2020-02-07,523384
2020-02-08,1078399
2020-02-09,711565
2020-02-10,198221
2020-02-11,269493
2020-02-12,190456
2020-02-13,193367
2020-02-14,388949
2020-02-15,548049
2020-02-16,452993
2020-02-17,322253
2020-02-18,147534
2020-02-19,115469
2020-02-20,101762
2020-02-21,143927
2020-02-22,261396
2020-02-23,160384
2020-02-24,48650
2020-02-25,61064
2020-02-26,43140
2020-02-27,43955
2020-02-28,82491
2020-02-29,163437
2020-03-01,112666
2020-03-02,33836
2020-03-03,45297
2020-03-04,34996
2020-03-05,31202
2020-03-06,51376
2020-03-07,94516
2020-03-08,52473
2020-03-09,21611
2020-03-10,27022
2020-03-11,20256
2020-03-12,18707
2020-03-13,21938
2020-03-14,35201
2020-03-15,19272
2020-03-16,6756
2020-03-17,2465
2020-03-18,554
2020-03-19,582
