date,gross
2015-12-18,119119282
2015-12-19,68294204
2015-12-20,60553189
2015-12-21,40109742
2015-12-22,37361729
2015-12-23,38022183
2015-12-24,27395725
2015-12-25,49325663
2015-12-26,56731532
2015-12-27,43145665
2015-12-28,31362029
2015-12-29,29528583
2015-12-30,28085057
2015-12-31,22932686
2016-01-01,34394152
2016-01-02,34368250
2016-01-03,21479271
2016-01-04,8021882
2016-01-05,7967428
2016-01-06,6210432
2016-01-07,5972359
2016-01-08,10744380
2016-01-09,19204072
2016-01-10,12405333
2016-01-11,3108701
2016-01-12,3844408
2016-01-13,3114937
2016-01-14,3129967
2016-01-15,6328954
2016-01-16,11028514
2016-01-17,8984649
2016-01-18,6678148
2016-01-19,2380910
2016-01-20,1814233
2016-01-21,1884097
2016-01-22,3535257
2016-01-23,6814652
2016-01-24,3728739
2016-01-25,1295742
2016-01-26,1574483
2016-01-27,1324479
2016-01-28,1338464
2016-01-29,2468701
2016-01-30,5089962
2016-01-31,3558021
2016-02-01,780785
2016-02-02,927503
2016-02-03,798790
2016-02-04,803545
2016-02-05,1772763
2016-02-06,3769739
2016-02-07,1430814
2016-02-08,678633
2016-02-09,708043
2016-02-10,628195
2016-02-11,585308
2016-02-12,1188588
2016-02-13,2461903
2016-02-14,2508785
2016-02-15,1481415
2016-02-16,575323
2016-02-17,465786
2016-02-18,479531
2016-02-19,917914
2016-02-20,1777894
2016-02-21,1211487
2016-02-22,296878
2016-02-23,365327
2016-02-24,316654
2016-02-25,309435
2016-02-26,671519
2016-02-27,1445740
2016-02-28,869180
2016-02-29,237419
2016-03-01,282460
2016-03-02,237754
2016-03-03,231559
2016-03-04,423072
2016-03-05,864129
2016-03-06,577503
2016-03-07,153120
2016-03-08,163629
2016-03-09,146770
2016-03-10,153522
2016-03-11,309461
2016-03-12,581919
2016-03-13,406372
2016-03-14,144714
2016-03-15,166095
2016-03-16,148312
2016-03-17,142054
2016-03-18,240725
2016-03-19,428104
2016-03-20,297242
2016-03-21,123856
2016-03-22,134780
2016-03-23,133075
2016-03-24,141559
2016-03-25,287489
2016-03-26,323606
2016-03-27,205389
2016-03-28,142911
2016-03-29,129437
2016-03-30,126362
2016-03-31,143797
2016-04-01,211084
2016-04-02,303186
2016-04-03,167359
2016-04-04,56853
2016-04-05,67498
2016-04-06,58258
2016-04-07,68632
2016-04-08,105483
2016-04-09,172954
2016-04-10,100486
2016-04-11,24858
2016-04-12,32087
2016-04-13,24877
2016-04-14,32555
2016-05-30,1450
