date,gross
2017-12-15,104684491
2017-12-16,63993205
2017-12-17,51331888
2017-12-18,21556373
2017-12-19,20254189
2017-12-20,16889863
2017-12-21,17892347
2017-12-22,24763084
2017-12-23,29172415
2017-12-24,17629999
2017-12-25,27459557
2017-12-26,27734356
2017-12-27,21846132
2017-12-28,19490329
2017-12-29,19029250
2017-12-30,19924241
2017-12-31,13566649
2018-01-01,14293461
2018-01-02,7876574
2018-01-03,5225332
2018-01-04,4348867
2018-01-05,6523473
2018-01-06,10398845
2018-01-07,6806626
2018-01-08,1791497
2018-01-09,2368317
2018-01-10,1744275
2018-01-11,1678949
2018-01-12,2670813
2018-01-13,4990298
2018-01-14,4193370
2018-01-15,2773240
2018-01-16,1103853
2018-01-17,861084
2018-01-18,851234
2018-01-19,1625633
2018-01-20,3168473
2018-01-21,1761329
2018-01-22,539120
2018-01-23,676890
2018-01-24,531967
2018-01-25,519933
2018-01-26,954781
2018-01-27,1933603
2018-01-28,1365617
2018-01-29,322382
2018-01-30,385086
2018-01-31,306959
2018-02-01,306531
2018-02-02,611248
2018-02-03,1231261
2018-02-04,495733
2018-02-05,234836
2018-02-06,279012
2018-02-07,233874
2018-02-08,233535
2018-02-09,302407
2018-02-10,643888
2018-02-11,451118
2018-02-12,142393
2018-02-13,140623
2018-02-14,202432
2018-02-15,103637
2018-02-16,132463
2018-02-17,263352
2018-02-18,221883
2018-02-19,158864
2018-02-20,65094
2018-02-21,58017
2018-02-22,53268
2018-02-23,84125
2018-02-24,159028
2018-02-25,109685
2018-02-26,31338
2018-02-27,35605
2018-02-28,34472
2018-03-01,33665
2018-03-02,62230
2018-03-03,120723
2018-03-04,69736
2018-03-05,24200
2018-03-06,26422
2018-03-07,27612
2018-03-08,23172
2018-03-09,66746
2018-03-10,122200
2018-03-11,76567
2018-03-12,32531
2018-03-13,36184
2018-03-14,33224
2018-03-15,31434
2018-03-16,50038
2018-03-17,75189
2018-03-18,49529
2018-03-19,17899
2018-03-20,18418
2018-03-21,17933
2018-03-22,20186
2018-03-23,29559
2018-03-24,44955
2018-03-25,27506
2018-03-26,14511
2018-03-27,16845
2018-03-28,14468
2018-03-29,17250
2018-03-30,27758
2018-03-31,26916
2018-04-01,12315
2018-04-02,8694
2018-04-03,7381
2018-04-04,6800
2018-04-05,10254
2018-04-06,11517
2018-04-07,14984
2018-04-08,7043
2018-04-09,1752
2018-04-10,2033
2018-04-11,1982
2018-04-12,2418
2018-04-13,1460
2018-04-14,2716
2018-04-15,1669
2018-04-16,621
2018-04-17,769
2018-04-18,543
2018-04-19,854
